Method,F1 Scores,F1 Scores,F1 Scores,
,1(98.7%),2(0.3%),3(1%),# Classes
DPM,1,0.75,0.56,5
HDPM,0.84,0.74,0.66,11
HDPM-RE,0.68,0.94,0.85,7
ASPIRE,1,1,0.9,3
Table 1: F1 scores achieved and the number of classes recovered by each of the four techniques on the artificial data set. ,,,,
