Component,k = 8,k = 8,k = 32,k = 32,k = 128,k = 128,k = 8,k = 8,k = 32,k = 32,k = 128,k = 128
Component,Shuffle,Telapse,Shuffle,Telapse,Shuffle,Telapse,Shuffle,Telapse,Shuffle,Telapse,Shuffle,Telapse
X = WTA,2206,11.64,6539,27.3,44799,121,327.3,3.25,921.1,5.24,5733.8,16.6
Y = WTWH,5.16,1.25,17.24,1.44,66.37,2.69,5.13,1.14,17.5,1.24,66.9,2.77
H = H. __./Y,16.97,1.02,52.3,1.04,193.6,1.15,16.29,0.97,53.3,1.02,197.5,1.18
Table 2: Computation Breakdowns with Different __ and __ ,,,,,,,,,,,,
