,LogPPL,LogPPL,LogPPL,AUCPR,AUCPR,AUCPR
,CNN,foxnews,COMBINE,CNN,foxnews,COMBINE
PROMO,0.68,0.601,0.643,0.795,0.773,0.783
PROMO_NT,0.688,0.615,0.663,0.791,0.766,0.773
RESCAL,0.716,0.649,0.733,0.793,0.768,0.759
CP,0.751,0.679,0.734,0.776,0.753,0.76
MultiMF,0.863,0.824,0.903,0.748,0.697,0.698
,LogPPL,LogPPL,LogPPL,AUCPR,AUCPR,AUCPR
,CNN,foxnews,COMBINE,CNN,foxnews,COMBINE
PROMO,1.137,1.298,1.241,0.605,0.379,0.521
eToT,1.442,1.337,1.373,0.396,0.364,0.391
Table 2: results on warm-start emotion prediction task ,,,,,,
