Impact,TV,TV,YouTube,YouTube,Google,Google
Total,Count,%,Count,%,Count,%
Positive,62283,82%,67M,78%,536K,53%
Negative,9036,11%,16M,19%,400K,39%
Neutral,4375,7%,3M,3%,77K,8%
Total,75694,100%,86M,100%,1015K,100%
Table 1: Prediction Impact By Corpus. ,,,,,,
