Year,Year,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016
Metrics,ER,AR,MD,SR,WR,ER,AR,MD,SR,WR,ER,AR,MD,SR,WR
AR model,0.029,0.577,0.111,0.151,0.486,0.09,0.373,0.446,0.055,0.5,0.026,-0.028,0.218,0.002,0.566
MD model,0.018,0.566,0.084,0.173,0.518,0.203,0.485,0.351,0.084,0.492,0.019,-0.035,0.187,-0.004,0.496
SR model,0.013,0.561,0.111,0.149,0.514,0.046,0.329,0.462,0.051,0.525,0.012,-0.042,0.221,-0.001,0.504
Table 1: Test Rank-Invest Models in ree Years ,,,,,,,,,,,,,,,
