Models,Workdays,Workdays,Workdays,Workdays,Workdays,Workdays,Holidays,Holidays,Holidays,Holidays,Holidays,Holidays
,12-4am,4-8am,8am-12pm,12-4pm,4-8pm,8pm-12am,12-4am,4-8am,8am-12pm,12-4pm,4-8pm,8pm-12am
Cstatic,0.884,0.899,0.865,0.799,0.801,0.832,0.872,0.848,0.807,0.753,0.761,0.84
C,0.885,0.908,0.869,0.82,0.825,0.848,0.868,0.854,0.818,0.781,0.787,0.844
R,0.887,0.884,0.873,0.826,0.831,0.86,0.859,0.843,0.814,0.768,0.79,0.837
RCHC,0.896,0.911,0.88,0.835,0.838,0.87,0.881,0.859,0.823,0.781,0.793,0.849
RCHBAC,0.899,0.912,0.883,0.835,0.84,0.871,0.89,0.863,0.829,0.786,0.795,0.85
Table 3: APR of our models in different time slots. ,,,,,,,,,,,,
